title,year,conf,field,pseudo_datasets,real_datasets,time_series,interv_setting,synthetic,pseudo_real,real,interventions,small,medium,big,synth_structural,synth_observational,synth_interventional,synth_qualitative,real_structural,real_observational,real_interventional,real_qualitative,included
Multi-Level Wavelet Mapping Correlation for Statistical Dependence Measurement: Methodology and Performance,2023,AAAI,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
CausalCity: Complex Simulations with Agency for Causal Discovery and Reasoning,2021,CLeaR,,,,,,,,,,,,,,,,,,,,,0
Causal Discovery from Multiple Data Sets with Non-Identical Variable Sets,2020,AAAI,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Ordinal causal discovery,2022,UAI,bio,,"Sachs,Tubingen",0,0,1,0,1,1,1,0,0,1,0,0,0,,,,,1
Specific and Shared Causal Relation Modeling and Mechanism-Based Clustering,2019,NeurIPS,"bio,neuro",,"Sachs,fmri-hippo",0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1
Foundations of Testing for Finite-Sample Causal Discovery,2024,ICML,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Higher Order Kernel Mean Embeddings to Capture Filtrations of Stochastic Processes,2021,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Vector Causal Inference between Two Groups of Variables,2022,AAAI,earth,,,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Permutation-Based Causal Structure Learning with Unknown Intervention Targets,2019,UAI,bio,,Sachs,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Novel Ordering-based Approaches for Causal Structure Learning in the Presence of Unobserved Variables,2022,AAAI,,bnlearn,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Root Cause Analysis In Microservice Using Neural Granger Causal Discovery,2024,AAAI,,,,,,,,,,,,,,,,,,,,,0
CASTLE: Regularization via Auxiliary Causal Graph Discovery,2020,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
BaCaDI: Bayesian Causal Discovery with Unknown Interventions,2022,AISTATS,bio,SERGIO,,0,1,1,1,0,,,,,1,0,1,0,,,,,1
Ordering-Based Causal Structure Learning in the Presence of Latent Variables,2019,AISTATS,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Causal discovery under a confounder blanket,2022,UAI,bio,,,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1
Truncated Matrix Power Iteration for Differentiable DAG Learning,2022,NeurIPS,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Towards the Disappearing Truth: Fine-Grained Joint Causal Influences Learning with Hidden Variable-Driven Causal Hypergraphs in Time Series,2024,AAAI,,,,,,,,,,,,,,,,,,,,,0
Efficient Intervention Design for Causal Discovery with Latents,2020,ICML,,,,,,,,,,,,,,,,,,,,,0
Learning Large DAGs by Combining Continuous Optimization and Feedback Arc Set Heuristics,2021,AAAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Optimal Transport for Structure Learning Under Missing Data,2024,ICML,bio,DREAM,Sachs,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1
Causal Discovery in Physical Systems from Videos,2020,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Discovery of extended summary graphs in time series,2022,UAI,neuro,Smith-fmri,,1,0,1,1,0,,,,,1,0,0,0,,,,,1
Causal Bandits without prior knowledge using separating sets,2020,CLeaR,,,,,,,,,,,,,,,,,,,,,0
Effective Causal Discovery under Identifiable Heteroscedastic Noise Model,2023,AAAI,bio,,"Sachs,Tubingen",0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
TNPAR: Topological Neural Poisson Auto-Regressive Model for Learning Granger Causal Structure from Event Sequences,2023,AAAI,other,,,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Causal Autoregressive Flows,2020,AISTATS,,,Tubingen,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1
Context-Specific Causal Discovery for Categorical Data Using Staged Trees,2021,AISTATS,"health,earth",,,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Directed Graphical Models and Causal Discovery for Zero-Inflated Data,2020,CLeaR,bio,,,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
Provable Subspace Identification Under Post-Nonlinear Mixtures,2022,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Causal Representation Learning Made Identifiable by Grouping of Observational Variables,2023,ICML,bio,SERGIO,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Measurement Dependence Inducing Latent Causal Models,2019,UAI,,,,0,0,0,0,1,0,0,1,0,,,,,0,0,0,1,1
Causal Discovery in Heterogeneous Environments Under the Sparse Mechanism Shift Hypothesis,2022,NeurIPS,bio,,Sachs,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
Adaptivity Complexity for Causal Graph Discovery,2023,UAI,,,,,,,,,,,,,,,,,,,,,0
Rhino: Deep Causal Temporal Relationship Learning With History-dependent Noise,2022,ICLR,"bio,neuro","DREAM,Smith-fmri",,1,0,1,1,0,,,,,1,0,0,0,,,,,1
Assumption violations in causal discovery and the robustness of score matching,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Causal Discovery in Linear Structural Causal Models with Deterministic Relations,2021,CLeaR,stocks,,,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Approximating Algorithmic Conditional Independence for Discrete Data,2019,AAAI,,bnlearn,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Stable Differentiable Causal Discovery,2023,ICML,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Identifying Confounding from Causal Mechanism Shifts,2024,AISTATS,bio,,Sachs,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
Structure Learning with Continuous Optimization: A Sober Look and Beyond,2023,CLeaR,,,,,,,,,,,,,,,,,,,,,0
Testing Conditional Independence on Discrete Data using Stochastic Complexity,2019,AISTATS,,bnlearn,,0,0,0,1,0,,,,,1,0,0,0,,,,,1
Identification of Causal Structure with Latent Variables Based on Higher Order Cumulants,2023,AAAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Collaborative Causal Discovery with Atomic Interventions,2021,NeurIPS,,bnlearn,,0,1,0,1,0,,,,,1,0,0,0,,,,,1
Discovering contemporaneous and lagged causal relations in autocorrelated nonlinear time series datasets,2020,UAI,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1
Efficient SAGE Estimation via Causal Structure Learning,2023,AISTATS,,,,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Meek Separators and Their Applications in Targeted Causal Discovery,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
A Bayesian nonparametric conditional two-sample test with an application to Local Causal Discovery,2020,UAI,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Causal Discovery with Fewer Conditional Independence Tests,2024,ICML,,,,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Enhancing Causal Discovery from Robot Sensor Data in Dynamic Scenarios,2023,CLeaR,neuro,Smith-fmri,,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1
From Temporal to Contemporaneous Iterative Causal Discovery in the Presence of Latent Confounders,2023,ICML,earth,,,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Neuropathic Pain Diagnosis Simulator for Causal Discovery Algorithm Evaluation,2019,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Conditional Independence Testing with Heteroskedastic Data and Applications to Causal Discovery,2023,NeurIPS,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Cause-effect inference through spectral independence in linear dynamical systems: theoretical foundations,2021,CLeaR,neuro,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Reliable Causal Discovery with Improved Exact Search and Weaker Assumptions,2022,NeurIPS,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Likelihood-Free Overcomplete ICA and Applications in Causal Discovery,2019,NeurIPS,bio,,"Sachs,Tubingen",1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Causal Discovery for time series from multiple datasets with latent contexts,2023,UAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Learning Causal Models under Independent Changes,2023,NeurIPS,bio,SERGIO,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
Reframed GES with a Neural Conditional Dependence Measure,2022,UAI,,bnlearn,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Beware of the Simulated DAG! Causal Discovery Benchmarks May Be Easy to Game,2021,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Local Causal Structure Learning in the Presence of Latent Variables,2024,ICML,bio,bnlearn,Wille,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Multi-granularity Causal Structure Learning,2023,AAAI,"bio,neuro",,"Sachs,fmri-hippo",0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
